ID,Alter,Jahr,Einkommen
1,56,2023,3015
2,69,2023,4985
3,46,2023,4353
4,32,2023,3933
5,60,2023,2715
6,25,2023,2455
7,38,2023,3824
8,56,2023,2684
9,36,2023,1959
10,40,2023,4885
11,28,2023,1521
12,28,2023,3800
13,41,2023,2247
14,53,2023,4404
15,57,2023,1974
16,41,2023,2582
17,20,2023,4058
18,39,2023,3547
19,19,2023,4247
20,41,2023,2475
1,56,2024,3004
2,69,2024,5471
3,46,2024,4715
4,32,2024,4299
5,60,2024,2758
6,25,2024,2759
7,38,2024,3754
8,56,2024,2968
9,36,2024,2405
10,40,2024,4705
11,28,2024,1487
12,28,2024,3873
13,41,2024,2434
14,53,2024,4804
15,57,2024,2089
16,41,2024,2395
17,20,2024,4099
18,39,2024,3692
19,19,2024,4611
20,41,2024,2614
